track.name,name,song_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,cluster,song_match
Dying for You (feat. Alex Aris) - Radio Edit,Lindsey Stirling,59A6lBd9QmcD8rQTZPj1xD,0.686,0.582,10,-6.088,1,0.0371,0.489,8.09e-06,0.082,0.437,121.97,audio_features,59A6lBd9QmcD8rQTZPj1xD,spotify:track:59A6lBd9QmcD8rQTZPj1xD,https://api.spotify.com/v1/tracks/59A6lBd9QmcD8rQTZPj1xD,https://api.spotify.com/v1/audio-analysis/59A6lBd9QmcD8rQTZPj1xD,198971,4,16,dyingforyou(feat.alexaris)-radioedit
Dying for You (feat. Alex Aris) - Radio Edit,Alex Aris,59A6lBd9QmcD8rQTZPj1xD,0.686,0.582,10,-6.088,1,0.0371,0.489,8.09e-06,0.082,0.437,121.97,audio_features,59A6lBd9QmcD8rQTZPj1xD,spotify:track:59A6lBd9QmcD8rQTZPj1xD,https://api.spotify.com/v1/tracks/59A6lBd9QmcD8rQTZPj1xD,https://api.spotify.com/v1/audio-analysis/59A6lBd9QmcD8rQTZPj1xD,198971,4,16,dyingforyou(feat.alexaris)-radioedit
Madness,Lucius,0JKVxaV2HEkRi6YAkpFssT,0.544,0.493,9,-6.043,1,0.0304,0.176,3.57e-06,0.103,0.324,138.011,audio_features,0JKVxaV2HEkRi6YAkpFssT,spotify:track:0JKVxaV2HEkRi6YAkpFssT,https://api.spotify.com/v1/tracks/0JKVxaV2HEkRi6YAkpFssT,https://api.spotify.com/v1/audio-analysis/0JKVxaV2HEkRi6YAkpFssT,245920,4,16,madness
Moth to the Flame,Chairlift,6fykOTaQUHbvT4rKOCtxJF,0.731,0.816,7,-6.214,1,0.0483,0.00152,0.0,0.128,0.568,119.056,audio_features,6fykOTaQUHbvT4rKOCtxJF,spotify:track:6fykOTaQUHbvT4rKOCtxJF,https://api.spotify.com/v1/tracks/6fykOTaQUHbvT4rKOCtxJF,https://api.spotify.com/v1/audio-analysis/6fykOTaQUHbvT4rKOCtxJF,177333,4,1,mothtotheflame
Limitless (feat. Delaney Jane),Adventure Club,7j3HTSCtsbMGDUBwiAP7pw,0.511,0.724,0,-4.333,0,0.0495,0.0773,1.09e-05,0.155,0.132,80.01,audio_features,7j3HTSCtsbMGDUBwiAP7pw,spotify:track:7j3HTSCtsbMGDUBwiAP7pw,https://api.spotify.com/v1/tracks/7j3HTSCtsbMGDUBwiAP7pw,https://api.spotify.com/v1/audio-analysis/7j3HTSCtsbMGDUBwiAP7pw,244611,4,5,limitless(feat.delaneyjane)
Limitless (feat. Delaney Jane),Delaney Jane,7j3HTSCtsbMGDUBwiAP7pw,0.511,0.724,0,-4.333,0,0.0495,0.0773,1.09e-05,0.155,0.132,80.01,audio_features,7j3HTSCtsbMGDUBwiAP7pw,spotify:track:7j3HTSCtsbMGDUBwiAP7pw,https://api.spotify.com/v1/tracks/7j3HTSCtsbMGDUBwiAP7pw,https://api.spotify.com/v1/audio-analysis/7j3HTSCtsbMGDUBwiAP7pw,244611,4,5,limitless(feat.delaneyjane)
Dreamers,Willa,10RfpkU43qs0Os8emTurH6,0.614,0.873,1,-4.821,0,0.12,0.000214,0.786,0.556,0.737,163.008,audio_features,10RfpkU43qs0Os8emTurH6,spotify:track:10RfpkU43qs0Os8emTurH6,https://api.spotify.com/v1/tracks/10RfpkU43qs0Os8emTurH6,https://api.spotify.com/v1/audio-analysis/10RfpkU43qs0Os8emTurH6,188516,4,6,dreamers
Loud(y),Lewis Del Mar,1F9VHQTqQixNvbBNQiJHnx,0.712,0.565,9,-7.451,0,0.0629,0.3,3e-05,0.0827,0.501,140.064,audio_features,1F9VHQTqQixNvbBNQiJHnx,spotify:track:1F9VHQTqQixNvbBNQiJHnx,https://api.spotify.com/v1/tracks/1F9VHQTqQixNvbBNQiJHnx,https://api.spotify.com/v1/audio-analysis/1F9VHQTqQixNvbBNQiJHnx,250427,4,5,loud(y)
Conqueror,AURORA,5yqJhxkeQoyGrBjVWhXlqN,0.471,0.551,7,-6.766,1,0.0404,0.00525,0.00158,0.183,0.52,183.96,audio_features,5yqJhxkeQoyGrBjVWhXlqN,spotify:track:5yqJhxkeQoyGrBjVWhXlqN,https://api.spotify.com/v1/tracks/5yqJhxkeQoyGrBjVWhXlqN,https://api.spotify.com/v1/audio-analysis/5yqJhxkeQoyGrBjVWhXlqN,207507,4,10,conqueror
Three Packs a Day,Courtney Barnett,4id9mYUgiFZl1EIbk7x2Ot,0.557,0.91,0,-4.871,1,0.0475,0.00526,6.74e-05,0.146,0.693,125.997,audio_features,4id9mYUgiFZl1EIbk7x2Ot,spotify:track:4id9mYUgiFZl1EIbk7x2Ot,https://api.spotify.com/v1/tracks/4id9mYUgiFZl1EIbk7x2Ot,https://api.spotify.com/v1/audio-analysis/4id9mYUgiFZl1EIbk7x2Ot,170163,4,11,threepacksaday
The Sound,The 1975,5vrusVExLfU8ntUykEEDhs,0.647,0.946,0,-4.68,1,0.0762,0.0931,5.37e-06,0.492,0.512,120.717,audio_features,5vrusVExLfU8ntUykEEDhs,spotify:track:5vrusVExLfU8ntUykEEDhs,https://api.spotify.com/v1/tracks/5vrusVExLfU8ntUykEEDhs,https://api.spotify.com/v1/audio-analysis/5vrusVExLfU8ntUykEEDhs,248893,4,4,thesound
Let Me Go,3 Doors Down,0nNVR2iDM3eVzEgMi78vQm,0.48,0.863,1,-4.914,0,0.0385,0.0181,0.0,0.111,0.491,91.972,audio_features,0nNVR2iDM3eVzEgMi78vQm,spotify:track:0nNVR2iDM3eVzEgMi78vQm,https://api.spotify.com/v1/tracks/0nNVR2iDM3eVzEgMi78vQm,https://api.spotify.com/v1/audio-analysis/0nNVR2iDM3eVzEgMi78vQm,243053,4,5,letmego
Let Me Go,Jack Joseph Puig,0nNVR2iDM3eVzEgMi78vQm,0.48,0.863,1,-4.914,0,0.0385,0.0181,0.0,0.111,0.491,91.972,audio_features,0nNVR2iDM3eVzEgMi78vQm,spotify:track:0nNVR2iDM3eVzEgMi78vQm,https://api.spotify.com/v1/tracks/0nNVR2iDM3eVzEgMi78vQm,https://api.spotify.com/v1/audio-analysis/0nNVR2iDM3eVzEgMi78vQm,243053,4,5,letmego
Forever Young - Fast Version,Bob Dylan,1C4yOUEjCUyPkxRDwwFksG,0.637,0.763,8,-7.572,1,0.11,0.66,0.00286,0.181,0.9,95.999,audio_features,1C4yOUEjCUyPkxRDwwFksG,spotify:track:1C4yOUEjCUyPkxRDwwFksG,https://api.spotify.com/v1/tracks/1C4yOUEjCUyPkxRDwwFksG,https://api.spotify.com/v1/audio-analysis/1C4yOUEjCUyPkxRDwwFksG,168733,4,1,foreveryoung-fastversion
Karma Chameleon - Remastered 2002,Culture Club,2wSAWEYUHkt92X4SBAPqZE,0.668,0.73,10,-7.182,1,0.0366,0.225,0.0,0.188,0.894,92.049,audio_features,2wSAWEYUHkt92X4SBAPqZE,spotify:track:2wSAWEYUHkt92X4SBAPqZE,https://api.spotify.com/v1/tracks/2wSAWEYUHkt92X4SBAPqZE,https://api.spotify.com/v1/audio-analysis/2wSAWEYUHkt92X4SBAPqZE,252773,4,1,karmachameleon-remastered2002
The Addams Family,TV Themes,7qa2N27ZxxqmUQx5j9Wa22,0.857,0.207,5,-11.038,1,0.102,0.6,4.75e-06,0.0684,0.678,120.004,audio_features,7qa2N27ZxxqmUQx5j9Wa22,spotify:track:7qa2N27ZxxqmUQx5j9Wa22,https://api.spotify.com/v1/tracks/7qa2N27ZxxqmUQx5j9Wa22,https://api.spotify.com/v1/audio-analysis/7qa2N27ZxxqmUQx5j9Wa22,107500,4,15,theaddamsfamily
Lost Stars,Adam Levine,569S7lORSzOGgunHmTnMwD,0.498,0.583,0,-4.762,1,0.0274,0.105,0.0,0.0698,0.4,82.071,audio_features,569S7lORSzOGgunHmTnMwD,spotify:track:569S7lORSzOGgunHmTnMwD,https://api.spotify.com/v1/tracks/569S7lORSzOGgunHmTnMwD,https://api.spotify.com/v1/audio-analysis/569S7lORSzOGgunHmTnMwD,267920,4,8,loststars
